citrus fruit,other vegetables,root vegetables,whole milk,,,support,57
other vegetables,rolls/buns,root vegetables,whole milk,,,support,61
other vegetables,rolls/buns,whole milk,yogurt,,,support,59
other vegetables,root vegetables,tropical fruit,whole milk,,,support,69
other vegetables,root vegetables,whole milk,yogurt,,,support,77
other vegetables,tropical fruit,whole milk,yogurt,,,support,75
other vegetables,whipped/sour cream,whole milk,yogurt,,,support,55
root vegetables,tropical fruit,whole milk,yogurt,,,support,56
,,,,,,,
,,,,,,,
,,,,,,,
minimum support=55,,,,,,,
